id;ligne;titre;date;artiste;lieu;description;image;tags;largeur;hauteur;octets
les-baigneuses_1853;418;Les baigneuses;1853;Gustave Courbet;Musée Fabre, Montpellier;Il représente des femmes réelles, aucune idéalisation. ça passe pas. et Nap III voit ça et déteste. Il présente 14 toiles à l’expo univ de 1855, 3 sont acceptées. Son pavillon est un succès médiatique car tout le monde en parle, pas commercial.;les-baigneuses_1853.jpg;Peinture, huile, réalisme, scène de genre;960;1120;281155
fillette-courant-sur-un-balcon_1912;419;Fillette courant sur un balcon;1912;Giacomo Balla;Museo del Novecento;Filippo Tommaso Marinetti, premier manifeste 1909. n’utilisent que le divisionnisme jusqu’en 1912. Représentation du mouvement, lié à la chronophotographie. Exposent en 1912 à Paris;fillette-courant-sur-un-balcon_1912.jpg;Peinture, huile, futurisme;1386;1400;518448
le-rire_1911;420;le rire;1911;Umberto Boccioni;MOMA;Mots clés : vitesse, modernité (tramways, avions,auto, villes industrielles), technologie, violence, machine. lié à littérature, archi, cinéma, musique. volonté de traduire le mouvement, la multiplicité des points de vue et donc décomposition des forme;le-rire_1911.jpg;Peinture, huile, futurisme;1000;754;218143
formes-uniques-de-la-continuite-dans-l-espace_1913;421;formes uniques de la continuité dans l’espace,;1913;Umberto Boccioni;MOMA;A part le nu de Duchamp, le futurisme fait peu d’émules en Fr. déclin après 1gm car accointances avec régime fasciste.;formes-uniques-de-la-continuite-dans-l-espace_1913.jpg;Bronze, sculpture, futurisme;1123;1400;176416
figures-exotiques-i_1911;422;Figures exotiques I;1911;Emil Nolde;;Inspiré des masques extra européens (poupées kachinas des amérindiens Hopi). Le primitivisme c’est l’intérêt qu'ont certains artistes après 1880 pour des cultures non occidentales, consistant en l’idéalisation ou l’appropriation d’éléments artistiques. car ils sont purs, instinctifs, voire sauvages;figures-exotiques-i_1911.jpg;Peinture, huile, primitivisme;651;538;50123
le-missionnaire_1912;423;Le missionnaire;1912;Emil Nolde;;expositions universelles et coloniales, science de l’ethnologie, musée d’ethnologie du trocadéro, voyages d’artistes. Nolde a voyagé en papouasie nouvelle guinée;le-missionnaire_1912.jpg;Peinture, huile, primitivisme;412;556;54935
vahine-a-la-fleur_1891;424;Vahine à la fleur;1891;Paul Gauguin;;Vahine = femme polynésienne portant la tiaré = fleur autochtone. Deux voyages en polynésie fr 1891-93 puis jusqu’à sa mort. déçu de l’absence d’objets authentiques en Polynésie et de l’authenticité générale (gâchée par la colonisation et les missionnaires);vahine-a-la-fleur_1891.jpg;Peinture, huile, primitivisme, portrait;932;1400;418613
l-esprit-des-morts-veille_1892;425;L’esprit des morts veille;1892;Paul Gauguin;;Fasciné par les croyances polynésiennes. Sur le lit, sa femme de 13 ans;l-esprit-des-morts-veille_1892.jpg;Peinture, huile, primitivisme, scène de genre;650;514;55830
tii-a-la-coquille_1892;426;Tii à la coquille;1892;Paul Gauguin;Orsay;Tii au singulier, Tiki au pluriel. bois de toa indigène, coquille, dent de poisson.;tii-a-la-coquille_1892.jpg;Sculpture, bois primitivisme,;407;500;24968
tombeau-d-oscar-wilde_1911-1914;427;Tombeau d’oscar Wilde;1911-1914;Jacob Epstein;Cimetière père lachaise;Homme ailé assyrien. a vu les collections égyptiennes, assyriennes, polynésiennes et africaines du British museum. Taille directe de;tombeau-d-oscar-wilde_1911-1914.jpg;Sculpture, primitivisme, architecture;800;535;120718
la-foule_1915;428;La foule;1915;Wyndham Lewis;tate museum;écho anglais du cubisme et futurisme. mouvement est fondé en 1914 par le peintre Wyndham Lewis + poète Ezra Pound. le groupe veut capturer le dynamisme et la violence de l’ère moderne industrielle à travers des compo géométriques angulaires et des formes fragmentées. la foule est absorbée par la ville, ensemble de masse rectangulaire à la palette réduite. Les figures humaines sont anecdotiques.;la-foule_1915.jpg;Peinture, huile, Vorticisme;200;261;17324
chronique-de-die-brucke_1913;429;Chronique de Die Brücke;1913;Kirchner;;"relate l'histoire et les accomplissements du groupe. Les autres membres n’y adhèrent pas, dissolution du groupe.  l’expressionnisme désigne des artistes allemands et autrichiens dans deux grands groupes, avec volonté commune de libération de la couleur et traduire l’émotion dans la peinture et avec la période c’est traduire une angoisse, une crise existentielle, la violence du monde moderne. Origine stylistiques : Edvard Munch et Van Gogh. 
Die Brücke = Kirchner, Heckel, Schmidt-Rottluff, bleyl).";chronique-de-die-brucke_1913.jpg;littérature, expressionnisme;387;463;42539
franzi-devant-une-chaise-sculptee_1910;430;Franzi devant une chaise sculptée;1910;Ernst Ludwig Kirchner;;Couleurs vives, non naturelles, visage simplifié, voire distordu,. chaise sculptée en forme de femme nue, lié au primitivisme et qui domine la fille, inquiétant. le visage semble fiévreux, malade. inattendu pour portrait d’un enfant. frontalité,;franzi-devant-une-chaise-sculptee_1910.jpg;Peinture, huile, expressionnisme, portrait, primitivisme.;960;1348;512649
portrait-d-un-homme-pensif_1918;431;Portrait d’un homme pensif;1918;Erich Heckel;;Gravure sur bois, cernes noires. formes anguleuses comme le souhaite l’expressionnisme. la posture traduit une tension psychologique.La gravure sur bois est une technique primitive. le primitivisme fournit le langage plastique (simplification, frontalité, matérialité brute) par lequel s'exprime la charge émotionnelle propre à l'expressionnisme.;portrait-d-un-homme-pensif_1918.jpg;Expressionnisme, estampes, bois, primitivisme;998;1400;262849
la-tour-dans-le-parc_1910-1912;432;La tour dans le parc;1910-1912;Karl Schmidt-Rottluff;Städel Museum;Couleurs éclatantes, on dirait des flammes;la-tour-dans-le-parc_1910-1912.jpg;Peinture, huile, expressionnisme, paysage;1024;923;281577
