id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
un-enterrement-a-ornans_1849-1950;416;Un enterrement à Ornans;1849-1950;Gustave Courbet;Orsay;un-enterrement-a-ornans_1849-1950.jpg;Peinture, huile, réalisme, scène de genre;960;441;103786
l-apres-dinee-a-ornan_1849;417;L’après-dinée à Ornan;1849;Gustave Courbet;Palais des beaux arts Lille;l-apres-dinee-a-ornan_1849.jpg;Peinture, huile, réalisme, scène de genre;1400;1041;245038
les-baigneuses_1853;418;Les baigneuses;1853;Gustave Courbet;Musée Fabre, Montpellier;les-baigneuses_1853.jpg;Peinture, huile, réalisme, scène de genre;960;1120;281155
fillette-courant-sur-un-balcon_1912;419;Fillette courant sur un balcon;1912;Giacomo Balla;Museo del Novecento;fillette-courant-sur-un-balcon_1912.jpg;Peinture, huile, futurisme;1386;1400;518448
le-rire_1911;420;le rire;1911;Umberto Boccioni;MOMA;le-rire_1911.jpg;Peinture, huile, futurisme;1000;754;218143
formes-uniques-de-la-continuite-dans-l-espace_1913;421;formes uniques de la continuité dans l’espace,;1913;Umberto Boccioni;MOMA;formes-uniques-de-la-continuite-dans-l-espace_1913.jpg;Bronze, sculpture, futurisme;1123;1400;176416
figures-exotiques-i_1911;422;Figures exotiques I;1911;Emil Nolde;;figures-exotiques-i_1911.jpg;Peinture, huile, primitivisme;651;538;50123
le-missionnaire_1912;423;Le missionnaire;1912;Emil Nolde;;le-missionnaire_1912.jpg;Peinture, huile, primitivisme;412;556;54935
vahine-a-la-fleur_1891;424;Vahine à la fleur;1891;Paul Gauguin;;vahine-a-la-fleur_1891.jpg;Peinture, huile, primitivisme, portrait;932;1400;418613
l-esprit-des-morts-veille_1892;425;L’esprit des morts veille;1892;Paul Gauguin;;l-esprit-des-morts-veille_1892.jpg;Peinture, huile, primitivisme, scène de genre;650;514;55830
tii-a-la-coquille_1892;426;Tii à la coquille;1892;Paul Gauguin;Orsay;tii-a-la-coquille_1892.jpg;Sculpture, bois primitivisme,;407;500;24968
tombeau-d-oscar-wilde_1911-1914;427;Tombeau d’oscar Wilde;1911-1914;Jacob Epstein;Cimetière père lachaise;tombeau-d-oscar-wilde_1911-1914.jpg;Sculpture, primitivisme, architecture;800;535;120718
la-foule_1915;428;La foule;1915;Wyndham Lewis;tate museum;la-foule_1915.jpg;Peinture, huile, Vorticisme;200;261;17324
chronique-de-die-brucke_1913;429;Chronique de Die Brücke;1913;Kirchner;;chronique-de-die-brucke_1913.jpg;littérature, expressionnisme;387;463;42539
franzi-devant-une-chaise-sculptee_1910;430;Franzi devant une chaise sculptée;1910;Ernst Ludwig Kirchner;;franzi-devant-une-chaise-sculptee_1910.jpg;Peinture, huile, expressionnisme, portrait, primitivisme.;960;1348;512649
portrait-d-un-homme-pensif_1918;431;Portrait d’un homme pensif;1918;Erich Heckel;;portrait-d-un-homme-pensif_1918.jpg;Expressionnisme, estampes, bois, primitivisme;998;1400;262849
la-tour-dans-le-parc_1910-1912;432;La tour dans le parc;1910-1912;Karl Schmidt-Rottluff;Städel Museum;la-tour-dans-le-parc_1910-1912.jpg;Peinture, huile, expressionnisme, paysage;1024;923;281577
